GEO_ID,NAME,B27015_016E2,B27015_012E,ratio
47001,"Anderson County, Tennessee",1031,14434,7.142857143
47003,"Bedford County, Tennessee",992,10158,9.76570191
47005,"Benton County, Tennessee",257,3417,7.521217442
47007,"Bledsoe County, Tennessee",142,2508,5.661881978
47009,"Blount County, Tennessee",2156,24154,8.926057796
47011,"Bradley County, Tennessee",2268,20086,11.29144678
47013,"Campbell County, Tennessee",923,7869,11.72957174
47015,"Cannon County, Tennessee",321,3140,10.22292994
47017,"Carroll County, Tennessee",419,5263,7.961238837
47019,"Carter County, Tennessee",909,10176,8.932783019
47021,"Cheatham County, Tennessee",720,9396,7.662835249
47023,"Chester County, Tennessee",457,3459,13.21191096
47025,"Claiborne County, Tennessee",420,6380,6.5830721
47027,"Clay County, Tennessee",53,1554,3.410553411
47029,"Cocke County, Tennessee",708,6795,10.41942605
47031,"Coffee County, Tennessee",1129,11573,9.755465307
47033,"Crockett County, Tennessee",288,2969,9.70023577
47035,"Cumberland County, Tennessee",1031,12626,8.165689846
47037,"Davidson County, Tennessee",16416,122368,13.41527197
47039,"Decatur County, Tennessee",85,2405,3.534303534
47041,"DeKalb County, Tennessee",175,3797,4.608901765
47043,"Dickson County, Tennessee",752,11129,6.757121035
47045,"Dyer County, Tennessee",935,7630,12.2542595
47047,"Fayette County, Tennessee",246,7938,3.099017385
47049,"Fentress County, Tennessee",183,3445,5.312046444
47051,"Franklin County, Tennessee",615,8890,6.917885264
47053,"Gibson County, Tennessee",610,9319,6.545766713
47055,"Giles County, Tennessee",485,6595,7.354056103
47057,"Grainger County, Tennessee",409,5050,8.099009901
47059,"Greene County, Tennessee",713,12295,5.799105327
47061,"Grundy County, Tennessee",328,2425,13.5257732
47063,"Hamblen County, Tennessee",931,12599,7.389475355
47065,"Hamilton County, Tennessee",6429,62088,10.3546579
47067,"Hancock County, Tennessee",125,872,14.33486239
47069,"Hardeman County, Tennessee",391,4267,9.163346614
47071,"Hardin County, Tennessee",635,4860,13.06584362
47073,"Hawkins County, Tennessee",898,11960,7.508361204
47075,"Haywood County, Tennessee",401,4112,9.751945525
47077,"Henderson County, Tennessee",339,5652,5.997876858
47079,"Henry County, Tennessee",709,6282,11.28621458
47081,"Hickman County, Tennessee",332,4723,7.029430447
47083,"Houston County, Tennessee",43,1776,2.421171171
47085,"Humphreys County, Tennessee",218,2980,7.315436242
47087,"Jackson County, Tennessee",232,2177,10.65686725
47089,"Jefferson County, Tennessee",1020,10986,9.284543965
47091,"Johnson County, Tennessee",244,2235,10.91722595
47093,"Knox County, Tennessee",6397,80533,7.94332758
47095,"Lake County, Tennessee",163,761,21.41918528
47097,"Lauderdale County, Tennessee",569,4693,12.12444066
47099,"Lawrence County, Tennessee",1178,9833,11.98006712
47101,"Lewis County, Tennessee",212,2252,9.413854352
47103,"Lincoln County, Tennessee",520,6192,8.397932817
47105,"Loudon County, Tennessee",1391,11676,11.91332648
47107,"McMinn County, Tennessee",894,9840,9.085365854
47109,"McNairy County, Tennessee",414,5529,7.487791644
47111,"Macon County, Tennessee",496,4025,12.32298137
47113,"Madison County, Tennessee",1556,18495,8.413084617
47115,"Marion County, Tennessee",409,6555,6.239511823
47117,"Marshall County, Tennessee",443,7548,5.869104399
47119,"Maury County, Tennessee",2342,19129,12.24319097
47121,"Meigs County, Tennessee",259,2527,10.24930748
47123,"Monroe County, Tennessee",602,9293,6.477994189
47125,"Montgomery County, Tennessee",2468,37047,6.661807974
47127,"Moore County, Tennessee",303,1425,21.26315789
47129,"Morgan County, Tennessee",187,3427,5.456667639
47131,"Obion County, Tennessee",210,5153,4.075295944
47133,"Overton County, Tennessee",322,4839,6.654267411
47135,"Perry County, Tennessee",304,1634,18.60465116
47137,"Pickett County, Tennessee",33,848,3.891509434
47139,"Polk County, Tennessee",192,3149,6.097173706
47141,"Putnam County, Tennessee",930,13997,6.644280917
47143,"Rhea County, Tennessee",339,6038,5.614441868
47145,"Roane County, Tennessee",797,10053,7.927981697
47147,"Robertson County, Tennessee",1180,14819,7.962750523
47149,"Rutherford County, Tennessee",5955,63443,9.386378324
47151,"Scott County, Tennessee",342,5619,6.086492258
47153,"Sequatchie County, Tennessee",181,2834,6.386732534
47155,"Sevier County, Tennessee",3154,22789,13.84001053
47157,"Shelby County, Tennessee",18875,157283,12.00066123
47159,"Smith County, Tennessee",232,3152,7.360406091
47161,"Stewart County, Tennessee",329,2970,11.07744108
47163,"Sullivan County, Tennessee",2380,31418,7.57527532
47165,"Sumner County, Tennessee",3721,35065,10.61172109
47167,"Tipton County, Tennessee",986,11962,8.242768768
47169,"Trousdale County, Tennessee",226,2328,9.70790378
47171,"Unicoi County, Tennessee",213,3112,6.844473008
47173,"Union County, Tennessee",420,5242,8.012209081
47175,"Van Buren County, Tennessee",200,1347,14.84780995
47177,"Warren County, Tennessee",771,8531,9.037627476
47179,"Washington County, Tennessee",2069,24204,8.548173856
47181,"Wayne County, Tennessee",393,3263,12.04413117
47183,"Weakley County, Tennessee",251,6234,4.026307347
47185,"White County, Tennessee",263,5386,4.883030078
47187,"Williamson County, Tennessee",1631,25150,6.485089463
47189,"Wilson County, Tennessee",1826,24555,7.436367339
