"GEO_ID","NAME","B27015_001E","B27015_001EA","B27015_001M","B27015_001MA","B27015_002E","B27015_002EA","B27015_002M","B27015_002MA","B27015_003E","B27015_003EA","B27015_003M","B27015_003MA","B27015_004E","B27015_004EA","B27015_004M","B27015_004MA","B27015_005E","B27015_005EA","B27015_005M","B27015_005MA","B27015_006E","B27015_006EA","B27015_006M","B27015_006MA","B27015_007E","B27015_007EA","B27015_007M","B27015_007MA","B27015_008E","B27015_008M","B27015_008MA","B27015_008EA","B27015_009E","B27015_009EA","B27015_009M","B27015_009MA","B27015_010E","B27015_010EA","B27015_010M","B27015_010MA","B27015_011E","B27015_011EA","B27015_011M","B27015_011MA","B27015_012E","B27015_012EA","B27015_012M","B27015_012MA","B27015_013E","B27015_013EA","B27015_013M","B27015_013MA","B27015_014E","B27015_014EA","B27015_014M","B27015_014MA","B27015_015E","B27015_015EA","B27015_015M","B27015_015MA","B27015_016E","B27015_016EA","B27015_016M","B27015_016MA","B27015_017E","B27015_017EA","B27015_017M","B27015_017MA","B27015_018E","B27015_018EA","B27015_018M","B27015_018MA","B27015_019E","B27015_019EA","B27015_019M","B27015_019MA","B27015_020E","B27015_020EA","B27015_020M","B27015_020MA","B27015_021E","B27015_021EA","B27015_021M","B27015_021MA","B27015_022E","B27015_022EA","B27015_022M","B27015_022MA","B27015_023E","B27015_023EA","B27015_023M","B27015_023MA","B27015_024E","B27015_024EA","B27015_024M","B27015_024MA","B27015_025E","B27015_025EA","B27015_025M","B27015_025MA","B27015_026E","B27015_026EA","B27015_026M","B27015_026MA",
"Geography","Geographic Area Name","Estimate!!Total:","Annotation of Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Estimate!!Total:!!Under $25,000:","Annotation of Estimate!!Total:!!Under $25,000:","Margin of Error!!Total:!!Under $25,000:","Annotation of Margin of Error!!Total:!!Under $25,000:","Estimate!!Total:!!Under $25,000:!!With health insurance coverage","Annotation of Estimate!!Total:!!Under $25,000:!!With health insurance coverage","Margin of Error!!Total:!!Under $25,000:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!Under $25,000:!!With health insurance coverage","Estimate!!Total:!!Under $25,000:!!With health insurance coverage!!With private health insurance","Annotation of Estimate!!Total:!!Under $25,000:!!With health insurance coverage!!With private health insurance","Margin of Error!!Total:!!Under $25,000:!!With health insurance coverage!!With private health insurance","Annotation of Margin of Error!!Total:!!Under $25,000:!!With health insurance coverage!!With private health insurance","Estimate!!Total:!!Under $25,000:!!With health insurance coverage!!With public coverage","Annotation of Estimate!!Total:!!Under $25,000:!!With health insurance coverage!!With public coverage","Margin of Error!!Total:!!Under $25,000:!!With health insurance coverage!!With public coverage","Annotation of Margin of Error!!Total:!!Under $25,000:!!With health insurance coverage!!With public coverage","Estimate!!Total:!!Under $25,000:!!No health insurance coverage","Annotation of Estimate!!Total:!!Under $25,000:!!No health insurance coverage","Margin of Error!!Total:!!Under $25,000:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!Under $25,000:!!No health insurance coverage","Estimate!!Total:!!$25,000 to $49,999:","Annotation of Estimate!!Total:!!$25,000 to $49,999:","Margin of Error!!Total:!!$25,000 to $49,999:","Annotation of Margin of Error!!Total:!!$25,000 to $49,999:","Estimate!!Total:!!$25,000 to $49,999:!!With health insurance coverage","Margin of Error!!Total:!!$25,000 to $49,999:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!$25,000 to $49,999:!!With health insurance coverage","Annotation of Estimate!!Total:!!$25,000 to $49,999:!!With health insurance coverage","Estimate!!Total:!!$25,000 to $49,999:!!With health insurance coverage!!With private health insurance","Annotation of Estimate!!Total:!!$25,000 to $49,999:!!With health insurance coverage!!With private health insurance","Margin of Error!!Total:!!$25,000 to $49,999:!!With health insurance coverage!!With private health insurance","Annotation of Margin of Error!!Total:!!$25,000 to $49,999:!!With health insurance coverage!!With private health insurance","Estimate!!Total:!!$25,000 to $49,999:!!With health insurance coverage!!With public coverage","Annotation of Estimate!!Total:!!$25,000 to $49,999:!!With health insurance coverage!!With public coverage","Margin of Error!!Total:!!$25,000 to $49,999:!!With health insurance coverage!!With public coverage","Annotation of Margin of Error!!Total:!!$25,000 to $49,999:!!With health insurance coverage!!With public coverage","Estimate!!Total:!!$25,000 to $49,999:!!No health insurance coverage","Annotation of Estimate!!Total:!!$25,000 to $49,999:!!No health insurance coverage","Margin of Error!!Total:!!$25,000 to $49,999:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!$25,000 to $49,999:!!No health insurance coverage","Estimate!!Total:!!$50,000 to $74,999:","Annotation of Estimate!!Total:!!$50,000 to $74,999:","Margin of Error!!Total:!!$50,000 to $74,999:","Annotation of Margin of Error!!Total:!!$50,000 to $74,999:","Estimate!!Total:!!$50,000 to $74,999:!!With health insurance coverage","Annotation of Estimate!!Total:!!$50,000 to $74,999:!!With health insurance coverage","Margin of Error!!Total:!!$50,000 to $74,999:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!$50,000 to $74,999:!!With health insurance coverage","Estimate!!Total:!!$50,000 to $74,999:!!With health insurance coverage!!With private health insurance","Annotation of Estimate!!Total:!!$50,000 to $74,999:!!With health insurance coverage!!With private health insurance","Margin of Error!!Total:!!$50,000 to $74,999:!!With health insurance coverage!!With private health insurance","Annotation of Margin of Error!!Total:!!$50,000 to $74,999:!!With health insurance coverage!!With private health insurance","Estimate!!Total:!!$50,000 to $74,999:!!With health insurance coverage!!With public coverage","Annotation of Estimate!!Total:!!$50,000 to $74,999:!!With health insurance coverage!!With public coverage","Margin of Error!!Total:!!$50,000 to $74,999:!!With health insurance coverage!!With public coverage","Annotation of Margin of Error!!Total:!!$50,000 to $74,999:!!With health insurance coverage!!With public coverage","Estimate!!Total:!!$50,000 to $74,999:!!No health insurance coverage","Annotation of Estimate!!Total:!!$50,000 to $74,999:!!No health insurance coverage","Margin of Error!!Total:!!$50,000 to $74,999:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!$50,000 to $74,999:!!No health insurance coverage","Estimate!!Total:!!$75,000 to $99,999:","Annotation of Estimate!!Total:!!$75,000 to $99,999:","Margin of Error!!Total:!!$75,000 to $99,999:","Annotation of Margin of Error!!Total:!!$75,000 to $99,999:","Estimate!!Total:!!$75,000 to $99,999:!!With health insurance coverage","Annotation of Estimate!!Total:!!$75,000 to $99,999:!!With health insurance coverage","Margin of Error!!Total:!!$75,000 to $99,999:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!$75,000 to $99,999:!!With health insurance coverage","Estimate!!Total:!!$75,000 to $99,999:!!With health insurance coverage!!With private health insurance","Annotation of Estimate!!Total:!!$75,000 to $99,999:!!With health insurance coverage!!With private health insurance","Margin of Error!!Total:!!$75,000 to $99,999:!!With health insurance coverage!!With private health insurance","Annotation of Margin of Error!!Total:!!$75,000 to $99,999:!!With health insurance coverage!!With private health insurance","Estimate!!Total:!!$75,000 to $99,999:!!With health insurance coverage!!With public coverage","Annotation of Estimate!!Total:!!$75,000 to $99,999:!!With health insurance coverage!!With public coverage","Margin of Error!!Total:!!$75,000 to $99,999:!!With health insurance coverage!!With public coverage","Annotation of Margin of Error!!Total:!!$75,000 to $99,999:!!With health insurance coverage!!With public coverage","Estimate!!Total:!!$75,000 to $99,999:!!No health insurance coverage","Annotation of Estimate!!Total:!!$75,000 to $99,999:!!No health insurance coverage","Margin of Error!!Total:!!$75,000 to $99,999:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!$75,000 to $99,999:!!No health insurance coverage","Estimate!!Total:!!$100,000 or more:","Annotation of Estimate!!Total:!!$100,000 or more:","Margin of Error!!Total:!!$100,000 or more:","Annotation of Margin of Error!!Total:!!$100,000 or more:","Estimate!!Total:!!$100,000 or more:!!With health insurance coverage","Annotation of Estimate!!Total:!!$100,000 or more:!!With health insurance coverage","Margin of Error!!Total:!!$100,000 or more:!!With health insurance coverage","Annotation of Margin of Error!!Total:!!$100,000 or more:!!With health insurance coverage","Estimate!!Total:!!$100,000 or more:!!With health insurance coverage!!With private health insurance","Annotation of Estimate!!Total:!!$100,000 or more:!!With health insurance coverage!!With private health insurance","Margin of Error!!Total:!!$100,000 or more:!!With health insurance coverage!!With private health insurance","Annotation of Margin of Error!!Total:!!$100,000 or more:!!With health insurance coverage!!With private health insurance","Estimate!!Total:!!$100,000 or more:!!With health insurance coverage!!With public coverage","Annotation of Estimate!!Total:!!$100,000 or more:!!With health insurance coverage!!With public coverage","Margin of Error!!Total:!!$100,000 or more:!!With health insurance coverage!!With public coverage","Annotation of Margin of Error!!Total:!!$100,000 or more:!!With health insurance coverage!!With public coverage","Estimate!!Total:!!$100,000 or more:!!No health insurance coverage","Annotation of Estimate!!Total:!!$100,000 or more:!!No health insurance coverage","Margin of Error!!Total:!!$100,000 or more:!!No health insurance coverage","Annotation of Margin of Error!!Total:!!$100,000 or more:!!No health insurance coverage",
"0500000US47001","Anderson County, Tennessee","74740","null","399","null","13916","null","1320","null","11761","null","1135","null","4041","null","536","null","9823","null","1041","null","2155","null","436","null","17393","null","1303","null","14916","1240","null","null","9048","null","917","null","9385","null","831","null","2477","null","527","null","14434","null","1205","null","13403","null","1186","null","10611","null","1088","null","5339","null","776","null","1031","null","280","null","10569","null","1028","null","10005","null","982","null","8751","null","891","null","2944","null","480","null","564","null","187","null","18428","null","1307","null","17679","null","1276","null","16158","null","1263","null","4133","null","540","null","749","null","269","null",
"0500000US47003","Bedford County, Tennessee","47743","null","155","null","6861","null","847","null","5624","null","678","null","2073","null","438","null","4493","null","600","null","1237","null","303","null","13021","null","1359","null","11398","1267","null","null","6568","null","1069","null","7222","null","948","null","1623","null","429","null","10158","null","1308","null","9166","null","1137","null","6909","null","963","null","3620","null","598","null","992","null","423","null","7538","null","1174","null","6939","null","1051","null","5564","null","863","null","2232","null","608","null","599","null","314","null","10165","null","1218","null","9248","null","1096","null","8334","null","998","null","1936","null","416","null","917","null","372","null",
"0500000US47005","Benton County, Tennessee","15949","null","99","null","4236","null","548","null","3692","null","492","null","1375","null","265","null","3189","null","447","null","544","null","157","null","4238","null","574","null","3751","520","null","null","2282","null","400","null","2369","null","422","null","487","null","147","null","3417","null","526","null","3160","null","503","null","2092","null","376","null","1534","null","391","null","257","null","161","null","2004","null","547","null","1963","null","545","null","1880","null","549","null","365","null","98","null","41","null","34","null","2054","null","479","null","1963","null","448","null","1653","null","399","null","567","null","174","null","91","null","76","null",
"0500000US47007","Bledsoe County, Tennessee","13622","null","170","null","3126","null","503","null","2375","null","399","null","640","null","200","null","2084","null","365","null","751","null","257","null","3013","null","613","null","2657","525","null","null","1491","null","297","null","1724","null","458","null","356","null","176","null","2508","null","540","null","2366","null","509","null","1585","null","333","null","1216","null","339","null","142","null","109","null","2445","null","559","null","2290","null","511","null","1712","null","472","null","673","null","304","null","155","null","126","null","2530","null","567","null","2273","null","512","null","1893","null","432","null","855","null","347","null","257","null","191","null",
"0500000US47009","Blount County, Tennessee","127737","null","328","null","17635","null","1228","null","14664","null","1025","null","5724","null","567","null","12074","null","959","null","2971","null","557","null","27699","null","1677","null","25118","1593","null","null","16403","null","1395","null","14302","null","1149","null","2581","null","501","null","24154","null","1696","null","21998","null","1515","null","17511","null","1317","null","9220","null","941","null","2156","null","500","null","21313","null","1759","null","19643","null","1633","null","17159","null","1514","null","5203","null","617","null","1670","null","453","null","36936","null","2075","null","35200","null","1950","null","32445","null","1903","null","6878","null","668","null","1736","null","416","null",
"0500000US47011","Bradley County, Tennessee","102474","null","415","null","17653","null","1385","null","14402","null","1280","null","5271","null","681","null","11673","null","1201","null","3251","null","554","null","24098","null","1762","null","20499","1511","null","null","12732","null","1003","null","11701","null","1164","null","3599","null","737","null","20086","null","1897","null","17818","null","1707","null","13911","null","1453","null","6790","null","972","null","2268","null","483","null","14467","null","1520","null","13640","null","1406","null","12409","null","1289","null","2971","null","626","null","827","null","283","null","26170","null","1715","null","24722","null","1680","null","22221","null","1565","null","5151","null","658","null","1448","null","460","null",
"0500000US47013","Campbell County, Tennessee","39120","null","269","null","9259","null","794","null","7844","null","646","null","2482","null","373","null","6822","null","596","null","1415","null","383","null","10464","null","1246","null","9008","1093","null","null","5023","null","645","null","6231","null","925","null","1456","null","321","null","7869","null","1099","null","6946","null","1037","null","4214","null","612","null","4028","null","812","null","923","null","350","null","5377","null","1026","null","5060","null","1009","null","4572","null","974","null","1168","null","279","null","317","null","136","null","6151","null","808","null","5794","null","786","null","5084","null","766","null","1586","null","438","null","357","null","165","null",
"0500000US47015","Cannon County, Tennessee","13977","null","120","null","2526","null","534","null","2127","null","441","null","653","null","201","null","1802","null","399","null","399","null","143","null","2596","null","473","null","2231","421","null","null","1626","null","338","null","997","null","227","null","365","null","217","null","3140","null","541","null","2819","null","462","null","2349","null","437","null","1130","null","236","null","321","null","174","null","2746","null","577","null","2558","null","571","null","2313","null","514","null","609","null","181","null","188","null","103","null","2969","null","444","null","2878","null","455","null","2684","null","449","null","504","null","172","null","91","null","111","null",
"0500000US47017","Carroll County, Tennessee","26957","null","192","null","6230","null","725","null","5329","null","663","null","1524","null","295","null","4698","null","646","null","901","null","246","null","6527","null","720","null","5797","656","null","null","3579","null","484","null","3502","null","483","null","730","null","185","null","5263","null","760","null","4844","null","654","null","3553","null","468","null","2119","null","386","null","419","null","179","null","4090","null","718","null","3807","null","688","null","3445","null","655","null","997","null","254","null","283","null","180","null","4847","null","660","null","4688","null","644","null","4349","null","618","null","871","null","218","null","159","null","74","null",
