STATEFP,avg_walk
48,9.08160985
51,8.976212803
01,6.83120031
02,8.20474407
04,10.10419659
05,6.722558609
06,12.22496984
08,10.5308607
09,10.08446164
10,10.48141696
11,14.47148148
12,10.47016839
13,7.59063799
15,9.988952381
16,7.976635514
17,10.46642933
18,7.809756266
19,8.100887199
20,8.611867291
21,7.209690512
22,7.656006914
23,7.070135052
24,10.48272202
25,11.62721498
26,7.963254113
27,9.184180654
28,6.004544054
29,8.577008433
30,8.054235946
31,9.349561135
32,10.97948439
33,7.148951555
34,11.86824895
35,8.816885208
36,11.24700899
37,7.271080422
38,8.30506993
39,8.705996969
40,8.242608207
41,11.47114655
42,10.16507529
44,12.58793456
45,7.101939632
46,7.625127421
47,7.30969697
49,11.00463511
50,8.556194125
53,10.50386787
54,6.28538526
55,8.874470929
56,7.478455284
60,1
66,1
69,1
72,4.618350039
78,4.322097378
